type,size,cores,blockSize,time,energy,L1_DCM,L2_DCM,FP_INS,TOT_INS,seq_time,speedup,time_s,edp,power_efficiency,instantaneous_power,gflops,joules_per_gflop,cache_miss_rate
Parallel,8192,10,64,15083.730665,395.995818,9664187460,149178814,109951582210,73289692363,62302.208832,4.130424376813148,15.083730665,5973.094263178358,0.03809063121217103,26.25317481429585,72.89387832462998,5.43249758555099,0.13186284658057762
Parallel,1024,11,64,28.035659,1.567851,18084321,404312,195559426,130402650,113.591071,4.051664025447021,0.028035658999999997,0.043955735998809,0.01788158377294781,55.92345805033512,76.59829390848277,0.020468484609764533,0.13868062497196185
Parallel,2048,11,64,225.894563,7.363755,127964511,3067695,1561853954,1041138025,920.639072,4.075525589343202,0.225894563,1.663432217764065,0.03067654518652508,32.598194937520475,76.05260151391957,0.09682449848414777,0.12290830603367887
Parallel,3072,11,64,710.523496,21.736501,467578809,6734413,5271191554,3515591675,3113.594459,4.382113296081625,0.710523496,15.444294681327495,0.03268803456453272,30.592233926631472,81.60470247981779,0.2663633386247049,0.1330014552955727
Parallel,4096,11,64,1727.427588,49.365001,1063085148,21294544,12494831618,8330467559,7472.435349,4.325758949844907,1.727427588,85.27446460904758,0.03499296167339286,28.577175299807703,79.56278713316462,0.6204533900676149,0.12761410334663306
Parallel,5120,11,64,3340.623965,94.361652,2056386264,41221330,24403509250,16268127580,14639.75145,4.382340426034751,3.3406239650000003,315.22679604819024,0.03540234718442615,28.246714682237513,80.35488543829564,1.1743113251335557,0.1264058358214572
Parallel,6144,11,64,5866.615695,164.83904,3557175199,71488428,42169008130,28109617594,25542.947952,4.353949411373536,5.866615695,967.0472992127329,0.0355899651866451,28.09780776001555,79.06713036671819,2.0847985659207113,0.12654655251373037
Parallel,7168,11,64,9415.393522,255.890728,5853346675,88367303,66962587650,44635630705,41376.450127,4.394553454438183,9.415393522,2409.3119027510643,0.036794586484587284,27.177911088058714,78.23219385816341,3.270913359069735,0.13113619282508132
Parallel,8192,11,64,14204.63506,380.707088,8459458446,175796041,99956031490,66627221274,62302.208832,4.386047833600591,14.204635060000001,5407.805249795306,0.037311191484829934,26.80160992464103,77.40513030652967,4.918370222908657,0.1269670006379381
Parallel,1024,12,64,26.332419,1.568995,16632051,383772,179306498,119781034,113.591071,4.313734754106715,0.026332419000000003,0.041315433748905,0.01678298464940934,59.58415746004952,81.5528435879742,0.01923899806519272,0.13885379383183485
Parallel,2048,12,64,206.229977,7.551841,128712724,1822381,1431830530,956487744,920.639072,4.4641379754408845,0.20622997699999998,1.5574159957376568,0.02730856979112775,36.6185416390751,83.30442273190964,0.09065354218110773,0.13456808496230976
Parallel,3072,12,64,723.666817,21.815171,424136932,5715900,4831838210,3220650342,3113.594459,4.302524844109302,0.723666817,15.786915359880707,0.03317264013195221,30.145324460828498,80.1225883706645,0.2722724195963101,0.13169294613230634
Parallel,4096,12,64,1614.531863,48.625186,968924261,19761957,11453595650,7636437766,7472.435349,4.628236531123822,1.6145318629999998,78.50691214130151,0.03320361310288869,30.11720432054428,85.12619454695768,0.5712129651605319,0.12688170724234513
Parallel,5120,12,64,3173.03128,93.813355,1944135593,34296843,22369796098,14910468235,14639.75145,4.613806218134729,3.17303128,297.6727098967444,0.03382280998265119,29.565846259164516,84.59905759265001,1.1089172582952098,0.13038729316604858
Parallel,6144,12,64,5485.806087,156.274084,3403110609,51277390,38654705666,25766379218,25542.947952,4.656188634252029,5.485806087,857.2893212475493,0.03510374814930926,28.486986510575136,84.55575363249255,1.8481780042931102,0.13207562382776075
Parallel,7168,12,64,8940.02658,248.329809,5396722136,77482850,61382590466,40916319248,41376.450127,4.628224508813485,8.94002658,2220.075093066323,0.03600061795239411,27.777300970843424,82.39202475212328,3.0140029905455195,0.1318965692708
Parallel,8192,12,64,13380.913195,368.077538,7761674898,167170829,91626143746,61074983455,62302.208832,4.65605059416126,13.380913195,4925.213585007314,0.036353517434687906,27.507654570058662,82.17014875986571,4.479455660664202,0.1270843553108581
Parallel,1024,12,128,31.924524,1.944495,14557293,1798933,180355074,101522602,113.591071,3.5581132235518997,0.031924524,0.062077077295380007,0.016417899763177587,60.90913054803887,67.26752286110828,0.02890689172566869,0.14338967592654886
Parallel,2048,12,128,183.428465,6.953635,87216155,4975089,1073741826,603080003,920.639072,5.019063273521915,0.18342846499999998,1.275494594220275,0.026378788216522724,37.90924707351174,93.65977730882719,0.07424355683733447,0.1446178857964886
Parallel,3072,12,128,598.661776,20.403028,359468154,5907379,4831838210,2666295189,3113.594459,5.2009241007563505,0.598661776,12.214512978257728,0.029341810245028337,34.08106015440678,96.85278202228164,0.21066021619602154,0.1348193386400023
Parallel,4096,12,128,1545.88528,50.298149,851484154,87091932,11454644226,6316356223,7472.435349,4.83375800628621,1.54588528,77.75516815034672,0.030734436768239722,32.53679276899512,88.90630841119076,0.5657433077456279,0.13480622750494292
Parallel,5120,12,128,2876.631298,95.140526,1660798568,145568294,22372417538,12337846465,14639.75145,5.089199808184803,2.876631298,273.68421479978275,0.0302356043101969,33.073590649641886,93.31590606923864,1.019553150235797,0.13461008553732234
Parallel,6144,12,128,4793.492526,149.313385,2915509545,49881883,38654705666,21315598724,25542.947952,5.32867169677527,4.793492526,715.7325950292606,0.03210356878587944,31.149184898092823,96.76795477452676,1.5430044517103438,0.13677821499413587
Parallel,7168,12,128,8099.007575,247.307462,4572242811,404771204,61383639042,33847912415,41376.450127,5.1088296613921855,8.099007575,2002.9450080920244,0.032748739198981386,30.53552669383693,90.94779631243894,2.719224346573593,0.13508197359237348
