type,size,cores,blockSize,time,energy,L1_DCM,L2_DCM,FP_INS,TOT_INS
Parallel,5120,10,128,3343.472693,84.824532,2009817236,34681458,26843545602,14819876419,140732245748016
Parallel,6144,10,128,6090.334982,154.909622,3477035525,305867566,46389002242,25603724257,140732245748016
Parallel,7168,10,128,9628.748780,244.263293,5512006929,473138218,73660366850,40648476059,140732245748016
Parallel,8192,10,128,14796.827687,369.737135,8240163268,150254497,109953679362,60668662120,140732245748016
Parallel,1024,9,128,27.506342,1.448137,18582858,1146392,239075330,132621573,140728642818624
Parallel,2048,9,128,226.188848,6.883402,146017013,2443104,1912602626,1059553448,140728642818624
Parallel,3072,9,128,795.531803,20.394697,485729511,8179167,6442450946,3560625567,140728642818624
Parallel,4096,9,128,1892.965862,46.725352,1148592451,99745006,15271460866,8432263496,140728642818624
Parallel,5120,9,128,3527.645510,87.638550,2227319826,36564849,29829890050,16466309115,140728642818624
Parallel,6144,9,128,6482.675283,152.477101,3847770092,66619832,51539607554,28443356086,140728642818624
Parallel,7168,9,128,10335.367756,243.415696,6206251905,537510249,81843453954,45159979049,140728642818624
Parallel,8192,9,128,15726.585966,366.614830,9314789839,850776276,122171686914,67402603676,140728642818624
Parallel,1024,8,128,21.445666,1.430758,21133958,384430,268435458,149073853,140722372381328
Parallel,2048,8,128,172.771924,6.127155,163336965,3171584,2147483650,1186949628,140722372381328
Parallel,3072,8,128,611.637513,17.732268,545583429,9372177,7247757314,4002507350,140722372381328
Parallel,4096,8,128,1470.306226,40.520396,1286660179,23048310,17179869186,9483442137,140722372381328
Parallel,5120,8,128,2899.773213,77.341170,2506508457,42974673,33554432002,18517627631,140722372381328
Parallel,6144,8,128,5059.258197,132.265728,4325959475,75928285,57982058498,31993118305,140722372381328
Parallel,7168,8,128,8091.202348,208.012665,6867591569,120057979,92073361410,50797841919,140722372381328
Parallel,8192,8,128,12345.517406,314.325145,10277290070,201118246,137438953474,75819766386,140722372381328
Parallel,1024,7,128,22.483922,1.351538,24766708,508947,310378498,172820787,140723988960272
Parallel,2048,7,128,196.685402,6.110829,186295496,2993085,2457862146,1358066020,140723988960272
Parallel,3072,7,128,677.317781,18.645245,619112750,10136625,8283750402,4574098744,140723988960272
